fips SCC Pollutant Emissions type year
09001 223007427B PM25-PRI 0.17 ON-ROAD 1999
09001 2267003050 PM25-PRI 0 NON-ROAD 1999
09003 220107027T PM25-PRI 0.08 ON-ROAD 1999
09003 223000115X PM25-PRI 0.09 ON-ROAD 1999
09003 223007527X PM25-PRI 2.25 ON-ROAD 1999
09005 220104013T PM25-PRI 0.03 ON-ROAD 1999
09005 220104017X PM25-PRI 0.3 ON-ROAD 1999
09005 223007313B PM25-PRI 0.02 ON-ROAD 1999
09005 223007415X PM25-PRI 9.28 ON-ROAD 1999
09007 223007429X PM25-PRI 2.77 ON-ROAD 1999
09007 2610000100 PM25-PRI 9.74 NONPOINT 1999
09009 223007223T PM25-PRI 0.03 ON-ROAD 1999
09009 2270002078 PM25-PRI 0.04 NON-ROAD 1999
09011 220102025X PM25-PRI 0.22 ON-ROAD 1999
09011 220107027B PM25-PRI 0.05 ON-ROAD 1999
09011 2265005055 PM25-PRI 0 NON-ROAD 1999
09011 2270002054 PM25-PRI 0.31 NON-ROAD 1999
09013 223006017X PM25-PRI 0.07 ON-ROAD 1999
09015 223007419B PM25-PRI 0.01 ON-ROAD 1999
23001 223006013X PM25-PRI 0.04 ON-ROAD 1999
23003 2104004000 PM25-PRI 23.823 NONPOINT 1999
23003 2265003010 PM25-PRI 0 NON-ROAD 1999
23007 2260002054 PM25-PRI 0 NON-ROAD 1999
23007 2260006010 PM25-PRI 0.04 NON-ROAD 1999
23007 2270002030 PM25-PRI 0.06 NON-ROAD 1999
23009 2260004015 PM25-PRI 0.02 NON-ROAD 1999
23015 2265004016 PM25-PRI 0.02 NON-ROAD 1999
23015 2601000000 PM25-PRI 0.999 NONPOINT 1999
23017 2104001000 PM25-PRI 0.135 NONPOINT 1999
23017 2610000400 PM25-PRI 2.77 NONPOINT 1999
23019 223007411T PM25-PRI 0.25 ON-ROAD 1999
23021 220107017B PM25-PRI 0.01 ON-ROAD 1999
23023 2270005060 PM25-PRI 0.01 NON-ROAD 1999
23025 220100121T PM25-PRI 0.09 ON-ROAD 1999
23025 220107015T PM25-PRI 0.01 ON-ROAD 1999
23025 2267002039 PM25-PRI 0 NON-ROAD 1999
25001 223007513X PM25-PRI 0.23 ON-ROAD 1999
25003 220107027B PM25-PRI 0.06 ON-ROAD 1999
25003 220108011X PM25-PRI 0.02 ON-ROAD 1999
25003 220108027B PM25-PRI 0.01 ON-ROAD 1999
25003 223006011X PM25-PRI 0.11 ON-ROAD 1999
25003 2270002030 PM25-PRI 0.65 NON-ROAD 1999
25005 50200601 PM25-PRI 6.036 POINT 1999
25005 220104015X PM25-PRI 0.09 ON-ROAD 1999
25005 2265005060 PM25-PRI 0 NON-ROAD 1999
